tag,release_datetime
v1.1.0-beta,2024-10-24T09:31:40
v1.1.1-beta,2024-10-31T10:34:49
v1.1.2-beta,2024-11-07T14:26:06
v1.1.3-beta,2024-11-15T11:39:27
v1.1.4-beta,2024-11-21T11:54:35
v1.1.5-beta,2024-11-28T11:14:35
v1.1.6-beta,2024-12-05T13:30:57
v1.1.7-beta,2025-01-08T16:13:08
v1.1.8-beta,2025-01-27T11:07:37
v1.2.2-beta,2025-03-19T17:47:30
v1.3.0-beta,2025-05-30T13:23:47
v1.3.1-beta,2025-06-20T15:25:29
v1.3.2-beta,2025-06-24T14:48:53
v1.4.0-beta,2025-06-27T12:13:41
v1.4.1-beta,2025-07-02T14:30:28
v1.4.2-beta,2025-07-07T13:08:27
v1.4.3-beta,2025-07-14T08:20:16
v1.4.4-beta,2025-07-17T08:42:44
v1.4.5-beta,2025-07-23T16:04:43
v1.4.6-beta,2025-07-31T15:34:08
v1.5.0-beta,2025-08-15T08:53:30
v1.5.1-beta,2025-08-27T11:43:15
v1.5.2-beta,2025-09-03T12:36:27
v1.6.0-beta,2025-09-11T11:54:40
v1.6.1-beta,2025-09-17T12:45:43
v1.6.2-beta,2025-10-01T12:11:08
v1.6.4-beta,2025-10-09T09:51:28
v1.6.5-beta,2025-10-17T13:35:59
v1.6.6-beta,2025-10-23T10:41:04
v1.6.7-beta,2025-10-29T13:57:40
v1.6.8-beta,2025-11-05T14:10:21
v1.6.9-beta,2025-11-13T10:23:12
v1.6.10-beta,2025-11-21T07:30:53
v1.6.11-beta,2025-11-26T15:12:40
v1.6.12-beta,2025-12-03T14:55:03
v1.6.13-beta,2025-12-10T14:54:27
v1.6.14-beta,2026-01-07T14:55:44
v1.7.0-beta,2026-01-08T15:50:17
v1.8.0-beta,2026-01-08T17:03:52
v1.8.2-beta,2026-01-21T16:59:12
v1.8.3-beta,2026-01-28T17:31:08
v1.8.4-beta,2026-02-04T17:15:28
v1.8.5-beta,2026-02-12T17:14:28
v1.8.7-beta,2026-02-24T11:45:59
v1.8.8-beta,2026-03-09T14:19:22
v1.8.9-beta,2026-03-12T11:40:59
v1.8.10-beta,2026-03-26T15:35:31
v1.8.11-beta,2026-04-02T12:38:08
v1.8.13-beta,2026-04-16T14:18:26
v1.8.15-beta,2026-04-23T11:35:19
v1.8.16-beta,2026-04-30T10:23:47
