tag,release_datetime
v1.0.417-beta,2024-09-25T08:39:29
3087117,2024-09-26T10:35:04
1fdeff8,2024-09-30T10:09:42
eefc68b,2024-10-01T08:27:38
903f42f,2024-10-09T08:09:32
b32649a,2024-10-24T08:03:56
v1.1.0-beta,2024-10-24T08:26:04
v1.1.1-beta,2024-10-31T10:24:10
e0f556e,2024-11-04T10:40:18
v1.1.2-beta,2024-11-07T14:21:18
v1.1.3-beta,2024-11-15T11:36:00
v1.1.4-beta,2024-11-21T11:44:53
v1.1.5-beta,2024-11-28T11:05:19
v1.1.6-beta,2024-12-05T12:44:30
v1.1.7-beta,2025-01-08T16:09:09
v1.1.8-beta,2025-01-20T09:06:38
79f40ec,2025-02-17T11:04:43
78f08cf4,2025-03-19T14:36:57
v1.2.0-beta,2025-03-19T15:01:04
ca26bbf0,2025-03-19T16:03:49
v1.2.1-beta,2025-03-19T16:22:04
d999dae2,2025-03-19T17:17:01
v1.2.2-beta,2025-03-19T17:33:35
31ef84b7,2025-03-20T09:33:33
c2e8fc69,2025-03-20T17:03:26
061d8802,2025-03-21T11:40:27
8a219fd0,2025-04-07T10:00:16
8aefd704,2025-05-12T08:28:09
v1.3.0-beta,2025-05-30T13:16:36
bfb1a344,2025-06-04T14:38:46
v1.3.1-beta,2025-06-20T15:15:23
v1.3.2-beta,2025-06-24T14:34:51
d58eb511,2025-06-26T10:50:21
v1.4.0-beta,2025-06-27T12:02:44
11b1a8ce,2025-06-27T12:13:13
v1.4.1-beta,2025-07-02T14:17:29
5568d4a5,2025-07-07T10:14:48
v1.4.2-beta,2025-07-07T12:49:35
v1.4.3-beta,2025-07-14T08:08:37
v1.4.4-beta,2025-07-17T08:35:01
v1.4.5-beta,2025-07-23T15:18:33
v1.4.6-beta,2025-07-31T14:48:31
6ead3f24,2025-08-01T14:30:36
f3806159,2025-08-04T10:49:25
68e1feba,2025-08-04T11:58:28
e7e68303,2025-08-08T09:41:22
v1.5.0-beta,2025-08-15T08:43:24
v1.5.1-beta,2025-08-27T11:28:55
v1.5.2-beta,2025-09-03T12:23:32
f7842676,2025-09-09T08:32:37
94f5d980,2025-09-10T14:14:49
v1.6.0-beta,2025-09-11T11:45:43
5e297388,2025-09-12T12:41:03
e9f45b95,2025-09-16T13:05:33
v1.6.1-beta,2025-09-17T12:01:11
v1.6.2-beta,2025-10-01T12:01:14
v1.6.4-beta,2025-10-09T09:42:31
v1.6.5-beta,2025-10-17T13:27:48
v1.6.6-beta,2025-10-23T10:16:00
v1.6.7-beta,2025-10-29T13:47:00
v1.6.8-beta,2025-11-05T13:12:27
v1.6.9-beta,2025-11-13T09:58:40
v1.6.10-beta,2025-11-20T17:09:12
v1.6.11-beta,2025-11-26T15:04:34
v1.6.12-beta,2025-12-03T14:04:04
v1.6.13-beta,2025-12-10T14:44:35
v1.6.14-beta,2026-01-07T14:47:55
v1.6.14-beta,2026-01-08T12:20:45
v1.7.0-beta,2026-01-08T15:42:17
v1.8.0-beta,2026-01-08T16:51:40
v1.8.1-beta,2026-01-21T11:29:45
v1.8.1-beta,2026-01-21T15:27:51
PR-1669,2026-01-21T16:15:00
v1.8.2-beta,2026-01-21T16:50:26
v1.8.3-beta,2026-01-28T17:10:38
v1.8.4-beta,2026-02-04T16:58:34
v1.8.5-beta,2026-02-11T09:47:30
v1.8.6-beta,2026-02-20T15:33:54
v1.8.7-beta,2026-02-24T11:34:58
v1.8.8-beta,2026-03-09T09:57:48
v1.8.9-beta,2026-03-12T11:27:34
v1.8.10-beta,2026-03-23T10:27:21
v1.8.11-beta,2026-03-30T11:08:39
cc2ab39,2026-04-01T13:10:39
ef86c22,2026-04-07T08:55:52
v1.8.12-beta,2026-04-08T15:16:20
PR-1858,2026-04-09T14:43:16
PR-1858,2026-04-09T15:24:02
01e3490,2026-04-10T12:53:03
v1.8.13-beta,2026-04-13T17:36:42
PR-1858,2026-04-14T13:10:48
PR-1858,2026-04-14T15:36:06
PR-1858,2026-04-15T08:29:15
v1.8.14-beta,2026-04-20T13:24:00
v1.8.15-beta,2026-04-23T11:00:40
8b78f2b,2026-04-23T14:48:32
v1.8.16-beta,2026-04-28T14:03:00
